name,passmark,rank,value,price
Mobility Radeon HD 2400,93,1020,NA,NA
Mobility Radeon HD 2400 XT,106,982,NA,NA
Mobility Radeon HD 2600,174,897,NA,NA
Mobility Radeon HD 2600 XT,200,864,NA,NA
Mobility Radeon HD 3410,62,1097,NA,NA
Mobility Radeon HD 3430,99,1004,NA,NA
Mobility Radeon HD 3450,92,1028,NA,NA
Mobility Radeon HD 3470,93,1023,NA,NA
Mobility Radeon HD 3470 Hybrid X2,97,1008,NA,NA
Mobility Radeon HD 3650,221,839,NA,NA
Mobility Radeon HD 3670,238,827,NA,NA
Mobility Radeon HD 3850,365,739,NA,NA
Mobility Radeon HD 3870 X2,521,645,NA,NA
Mobility Radeon HD 4200,93,1022,NA,NA
Mobility Radeon HD 4225,67,1083,NA,NA
Mobility Radeon HD 4250,100,1003,NA,NA
Mobility Radeon HD 4270,95,1016,NA,NA
Mobility Radeon HD 4330,164,905,NA,NA
Mobility Radeon HD 4350,148,915,NA,NA
Mobility Radeon HD 4550,194,878,NA,NA
Mobility Radeon HD 4570,202,863,NA,NA
Mobility Radeon HD 4650,400,719,NA,NA
Mobility Radeon HD 4670,474,673,NA,NA
Mobility Radeon HD 4850,813,404,NA,NA
Mobility Radeon HD 4870,724,470,NA,NA
Mobility Radeon HD 5000,773,433,NA,NA
Mobility Radeon HD 5000 Serisi,478,668,NA,NA
Mobility Radeon HD 5165,284,794,NA,NA
Mobility Radeon HD 530v,175,895,NA,NA
Mobility Radeon HD 540v,189,885,NA,NA
Mobility Radeon HD 5430,180,889,NA,NA
Mobility Radeon HD 5450,212,850,NA,NA
Mobility Radeon HD 545v,199,865,NA,NA
Mobility Radeon HD 5470,232,829,NA,NA
Mobility Radeon HD 550v,267,808,NA,NA
Mobility Radeon HD 5570,730,463,NA,NA
Mobility Radeon HD 560v,321,767,NA,NA
Mobility Radeon HD 5650,529,637,NA,NA
Mobility Radeon HD 565v,325,765,NA,NA
Mobility Radeon HD 5730,662,515,NA,NA
Mobility Radeon HD 5850,765,437,NA,NA
Mobility Radeon HD 5870,1202,265,NA,NA
Mobility Radeon HD serie 4200,96,1013,NA,NA
Mobility Radeon X1300,39,1166,NA,NA
Mobility Radeon X1350,40,1163,NA,NA
Mobility Radeon X1400,42,1152,NA,NA
Mobility Radeon X1450,33,1189,NA,NA
Mobility Radeon X1600,90,1033,NA,NA
Mobility Radeon X1700,98,1007,NA,NA
MOBILITY RADEON X1800,134,935,NA,NA
Mobility Radeon X1900,134,932,NA,NA
Mobility Radeon X2300,47,1134,NA,NA
Mobility Radeon X2300 HD,48,1131,NA,NA
Mobility Radeon X2500,68,1077,NA,NA
MOBILITY RADEON X300,33,1187,NA,NA
MOBILITY RADEON X600,50,1122,NA,NA
MOBILITY RADEON X600 SE,49,1127,NA,NA
MOBILITY RADEON X700,66,1085,NA,NA
MOBILITY RADEON XPRESS 200,27,1207,NA,NA
Mobility Radeon. HD 5470,193,879,NA,NA
MOBILITY/RADEON 9000,4,1308,NA,NA
nForce 750a SLI,86,1037,NA,NA
nForce 760i SLI,140,923,NA,NA
nForce 780a SLI,92,1027,NA,NA
nForce 980a/780a SLI,83,1047,NA,NA
NVS 2100M,195,872,NA,NA
NVS 300,197,868,1.59,$123.99
NVS 310,277,799,3.38,$81.99
NVS 3100M,215,849,NA,NA
NVS 315,339,755,4.99,$68.00
NVS 4200M,354,744,NA,NA
NVS 510,768,435,2.59,$296.99
NVS 5100M,371,735,NA,NA
NVS 5200M,623,557,NA,NA
NVS 5400M,736,456,NA,NA
PHDGD Solo 1.2.0 x86,11,1258,NA,NA
PHDGD Solo 2 x64,20,1234,NA,NA
Quadro 1000M,732,461,20.36,$35.95*
Quadro 1100M,755,446,NA,NA
Quadro 2000,1303,240,16.23,$80.27
Quadro 2000 D,1167,272,NA,NA
Quadro 2000D,1285,246,1.65,$780.00*
Quadro 2000M,1066,290,4.59,$232.14*
Quadro 280 NVS PCIe,5,1293,NA,NA
Quadro 3000M,1327,238,2.67,$496.64*
Quadro 400,260,814,2.17,$119.99*
Quadro 4000,1934,167,11.26,$171.73
Quadro 4000M,1747,187,NA,NA
Quadro 410,429,699,2.68,$160.00
Quadro 5000,2706,124,7.87,$344.00
Quadro 5000M,1942,163,NA,NA
Quadro 500M,646,537,NA,NA
Quadro 5010M,1783,181,NA,NA
Quadro 600,680,495,7.51,$90.49
Quadro 6000,3444,94,4.27,$807.30
Quadro CX,1013,311,6.76,$149.95*
Quadro FX 1000,34,1184,NA,NA
Quadro FX 1100,35,1177,0.16,$212.99*
Quadro FX 1300,24,1219,NA,NA
Quadro FX 1400,103,987,NA,NA
Quadro FX 1500,156,907,1.73,$89.99*
Quadro FX 1500M,176,894,NA,NA
Quadro FX 1600M,226,835,NA,NA
Quadro FX 1700,205,860,1.51,$135.50
Quadro FX 1700M,315,770,NA,NA
Quadro FX 1800,594,581,3.65,$162.63
Quadro FX 1800M,487,664,NA,NA
Quadro FX 2500M,212,851,NA,NA
Quadro FX 2700M,542,628,NA,NA
Quadro FX 2800M,678,498,NA,NA
Quadro FX 3000,65,1087,0.45,$145.00*
Quadro FX 3400/4400,102,992,NA,NA
Quadro FX 3450,148,917,0.99,$149.97*
Quadro FX 3450/4000 SDI,133,937,NA,NA
Quadro FX 350,85,1038,NA,NA
Quadro FX 3500,208,855,5.33,$39.00*
Quadro FX 350M,61,1098,NA,NA
Quadro FX 3600M,470,677,NA,NA
Quadro FX 360M,90,1032,NA,NA
Quadro FX 370,90,1030,0.64,$139.98*
Quadro FX 370 LP,108,977,NA,NA
Quadro FX 3700,638,544,6.93,$92.00
Quadro FX 3700M,664,511,0.72,$925.00*
Quadro FX 370M,88,1035,NA,NA
Quadro FX 380,164,903,2.19,$75.00*
Quadro FX 380 LP,203,862,NA,NA
Quadro FX 3800,845,387,3.52,$240.00
Quadro FX 3800M,829,394,NA,NA
Quadro FX 380M,219,843,NA,NA
Quadro FX 4500,206,859,0.87,$236.60*
Quadro FX 4600,615,562,3.70,$166.00
Quadro FX 4700 X2,665,507,NA,NA
Quadro FX 4800,986,323,4.63,$212.95*
Quadro FX 500/600 PCI,14,1248,NA,NA
Quadro FX 500/FX 600,7,1272,NA,NA
Quadro FX 540,83,1049,1.38,$59.99*
Quadro FX 550,63,1096,NA,NA
Quadro FX 5500,241,826,0.76,$315.99*
Quadro FX 560,119,953,0.79,$150.25*
Quadro FX 5600,715,481,2.77,$257.95*
Quadro FX 570,122,950,0.20,$599.99
Quadro FX 570M,191,881,NA,NA
Quadro FX 580,291,788,2.97,$97.99*
Quadro FX 5800,1091,283,2.18,$499.99*
Quadro FX 770M,315,769,0.60,$527.00*
Quadro FX 880M,371,734,NA,NA
Quadro FX Go1400,101,1001,NA,NA
Quadro K1000M,775,430,3.13,$247.50
Quadro K1100M,981,327,0.48,"$2,048.71*"
Quadro K1200,2882,117,10.40,$277.22
Quadro K2000,1658,195,5.53,$299.99
Quadro K2000D,1637,196,4.10,$399.00
Quadro K2000M,1078,288,4.06,$265.27*
Quadro K2100M,1220,262,8.72,$139.95
Quadro K2200,3437,95,8.90,$385.99
Quadro K2200M,1520,211,NA,NA
Quadro K3000M,1599,200,5.53,$289.00*
Quadro K3100M,1858,177,0.81,"$2,299.00*"
Quadro K4000,2820,121,8.06,$349.99
Quadro K4000M,2260,143,NA,NA
Quadro K4100M,2515,134,NA,NA
Quadro K420,835,390,7.46,$111.99
Quadro K4200,4429,59,5.76,$768.99
Quadro K5000,3994,79,4.44,$899.99
Quadro K5000M,2679,126,8.12,$329.99*
Quadro K5100M,2958,112,NA,NA
Quadro K510M,624,556,NA,NA
Quadro K5200,6124,29,3.64,"$1,680.95"
Quadro K600,825,395,4.44,$186.00
Quadro K6000,7777,18,1.68,"$4,615.99"
Quadro K610M,711,482,3.09,$229.99*
Quadro K620,2270,142,14.19,$159.99
Quadro K620M,796,415,NA,NA
Quadro M1000M,1673,190,NA,NA
Quadro M2000,4497,58,10.46,$430.00
Quadro M2000M,2213,148,NA,NA
Quadro M3000M,4253,69,NA,NA
Quadro M4000,6429,27,7.95,$808.85
Quadro M4000M,3339,98,NA,NA
Quadro M5000,8323,13,4.45,"$1,870.00"
Quadro M5000M,4908,53,NA,NA
Quadro M500M,998,318,NA,NA
Quadro M6000,10500,7,2.33,"$4,499.99"
Quadro M6000 24GB,11701,3,NA,NA
Quadro M600M,1545,206,NA,NA
Quadro NVS 110M,47,1136,NA,NA
Quadro NVS 120M,47,1133,NA,NA
Quadro NVS 130M,60,1101,NA,NA
Quadro NVS 135M,57,1110,NA,NA
Quadro NVS 140M,93,1021,NA,NA
Quadro NVS 150M,95,1015,NA,NA
Quadro NVS 160M,97,1011,NA,NA
Quadro NVS 210S,23,1225,NA,NA
Quadro NVS 210S / GeForce 6150LE,18,1237,NA,NA
Quadro NVS 280 SD,1,1373,NA,NA
Quadro NVS 285,34,1185,0.89,$38.02
Quadro NVS 285 128MB,38,1169,0.69,$55.00*
Quadro NVS 290,98,1006,2.45,$39.95*
Quadro NVS 295,101,997,1.92,$52.50
Quadro NVS 320M,218,846,NA,NA
Quadro NVS 420,104,985,0.69,$149.99
Quadro NVS 440,37,1172,0.35,$105.00
Quadro NVS 450,92,1025,0.37,$249.99*
Quadro NVS 55/280 PCI,6,1275,NA,NA
Quadro2 Pro,1,1374,NA,NA
Quadro4 380 XGL,7,1270,NA,NA
Quadro4 980 XGL,5,1290,0.01,$341.43*
Radeon 2100,57,1109,NA,NA
Radeon 3000,104,986,NA,NA
Radeon 3100,76,1062,NA,NA
Radeon 6600M,734,460,NA,NA
RADEON 7000 / RADEON VE Family,4,1306,NA,NA
RADEON 7500,3,1331,0.09,$32.12*
RADEON 7500 Family,4,1324,NA,NA
RADEON 9000 Family,3,1358,NA,NA
RADEON 9100 Family,5,1302,NA,NA
RADEON 9100 IGP,6,1277,NA,NA
RADEON 9200,3,1356,0.08,$39.95*
RADEON 9200 LE Family,2,1362,NA,NA
RADEON 9200 PRO Family,2,1365,NA,NA
RADEON 9200 SE,2,1359,NA,NA
RADEON 9250,2,1366,0.05,$42.99*
RADEON 9500,36,1174,0.89,$40.50*
RADEON 9500 PRO / 9700,45,1140,NA,NA
RADEON 9550,35,1179,1.10,$31.88*
Radeon 9550 / X1050,28,1203,NA,NA
RADEON 9600 Family,26,1212,NA,NA
RADEON 9600 PRO Family,26,1214,NA,NA
RADEON 9600 TX Family,18,1238,NA,NA
RADEON 9600 XT,35,1178,NA,NA
RADEON 9600SE,28,1204,NA,NA
RADEON 9700 PRO,53,1119,NA,NA
RADEON 9800 PRO,56,1114,NA,NA
RADEON 9800 SE,27,1205,NA,NA
RADEON 9800 XT,49,1129,NA,NA
RADEON E4690,405,717,NA,NA
Radeon E6760,954,338,3.98,$239.99*
Radeon E8860,1628,198,NA,NA
Radeon HD 2350,76,1061,NA,NA
Radeon HD 2400,123,949,NA,NA
Radeon HD 2400 PCI,14,1247,NA,NA
Radeon HD 2400 Pro,122,951,NA,NA
Radeon HD 2400 XT,125,946,NA,NA
Radeon HD 2600 PRO,220,842,NA,NA
Radeon HD 2600 Pro AGP,141,920,NA,NA
Radeon HD 2600 XT,298,784,NA,NA
Radeon HD 2900 GT,292,787,NA,NA
Radeon HD 2900 PRO,649,530,NA,NA
Radeon HD 2900 XT,629,551,NA,NA
Radeon HD 3200,84,1044,NA,NA
Radeon HD 3300,133,936,NA,NA
Radeon HD 3450,125,947,1.71,$72.99*
Radeon HD 3470,151,912,NA,NA
Radeon HD 3650 AGP,146,919,NA,NA
Radeon HD 3670,254,819,NA,NA
Radeon HD 3850,540,631,NA,NA
Radeon HD 3850 AGP,476,671,NA,NA
Radeon HD 3850 X2,792,417,NA,NA
Radeon HD 3870,735,457,12.67,$58.00*
Radeon HD 3870 X2,874,375,NA,NA
Radeon HD 4200,117,959,NA,NA
Radeon HD 4250,129,940,NA,NA
Radeon HD 4270,113,966,NA,NA
Radeon HD 4290,148,916,NA,NA
Radeon HD 4300/4500 Serisi,155,908,NA,NA
Radeon HD 4330,164,904,NA,NA
Radeon HD 4350,177,892,2.72,$64.99*
Radeon HD 4550,252,821,1.98,$126.99*
Radeon HD 4650,346,750,2.77,$124.99*
Radeon HD 4650 AGP,263,809,NA,NA
Radeon HD 4670,550,615,5.00,$109.99*
Radeon HD 4770,1054,294,NA,NA
Radeon HD 4810,781,423,NA,NA
Radeon HD 4830,969,331,16.15,$59.99*
Radeon HD 4850,1035,302,11.50,$89.99*
Radeon HD 4850 X2,1124,278,NA,NA
Radeon HD 4870,1376,229,22.94,$59.99*
Radeon HD 4870 X2,1244,255,NA,NA
Radeon HD 4890,1536,207,13.96,$109.99*
Radeon HD 5450,231,830,7.70,$29.99
Radeon HD 5470,268,806,NA,NA
Radeon HD 5550,540,632,9.82,$54.99*
Radeon HD 5570,711,483,4.06,$174.99*
Radeon HD 5600/5700,967,332,NA,NA
Radeon HD 5670,1064,291,22.24,$47.84*
Radeon HD 5750,1399,225,20.16,$69.41*
Radeon HD 5770,1684,189,14.52,$115.99*
Radeon HD 5830,2026,159,12.66,$159.99*
Radeon HD 5850,2253,144,28.17,$79.99*
Radeon HD 5870,2594,130,25.94,$99.99*
Radeon HD 5970,2590,131,7.85,$329.99*
Radeon HD 6230,211,853,NA,NA
Radeon HD 6250,117,958,NA,NA
Radeon HD 6290,135,931,NA,NA
Radeon HD 6290M,137,930,NA,NA
Radeon HD 6300M,249,823,NA,NA
Radeon HD 6310,169,899,NA,NA
Radeon HD 6320,203,861,0.37,$554.99*
Radeon HD 6320 Graphic,216,847,NA,NA
Radeon HD 6320M,198,867,NA,NA
RADEON HD 6350,208,857,3.06,$67.99*
Radeon HD 6370D,323,766,NA,NA
Radeon HD 6370M,269,804,NA,NA
Radeon HD 6380G,300,782,0.75,$399.99*
Radeon HD 6410D,392,723,NA,NA
Radeon HD 6430M,194,875,NA,NA
Radeon HD 6450,286,792,9.54,$29.99
Radeon HD 6450A,260,815,NA,NA
Radeon HD 6470M,314,772,0.55,$569.99*
Radeon HD 6480G,407,712,NA,NA
Radeon HD 6490M,369,737,0.31,"$1,193.03*"
Radeon HD 6520G,488,663,NA,NA
Radeon HD 6530D,517,647,NA,NA
Radeon HD 6550A,707,485,NA,NA
Radeon HD 6550D,654,521,NA,NA
Radeon HD 6570,759,442,4.22,$179.99
Radeon HD 6610M,547,621,NA,NA
Radeon HD 6620G,561,603,NA,NA
Radeon HD 6630M,684,494,NA,NA
Radeon HD 6650M,695,490,NA,NA
Radeon HD 6670,1047,298,10.17,$102.99*
Radeon HD 6670 + 6670 Dual,646,536,NA,NA
Radeon HD 6700M,981,329,NA,NA
Radeon HD 6750,1296,242,25.93,$49.99*
Radeon HD 6750M,928,351,NA,NA
Radeon HD 6770,1658,194,21.54,$76.99*
Radeon HD 6770M,992,320,NA,NA
Radeon HD 6790,2027,158,31.19,$64.99*
Radeon HD 6800M,988,321,NA,NA
Radeon HD 6850,2240,145,22.40,$99.99*
Radeon HD 6870,2576,132,28.63,$89.99*
Radeon HD 6900M,1917,172,NA,NA
Radeon HD 6950,3174,102,35.27,$89.99
Radeon HD 6970,3470,92,36.53,$94.99*
Radeon HD 6990,2514,135,15.71,$159.99*
Radeon HD 7290,138,926,NA,NA
Radeon HD 7310,171,898,NA,NA
Radeon HD 7310G,180,890,NA,NA
Radeon HD 7310M,165,902,NA,NA
Radeon HD 7340,209,854,0.38,$552.69*
Radeon HD 7340G,194,877,NA,NA
Radeon HD 7340M,219,844,NA,NA
Radeon HD 7350,283,796,NA,NA
Radeon HD 7400G,331,760,NA,NA
Radeon HD 7420G,449,692,NA,NA
Radeon HD 7450,319,768,3.75,$84.99*
Radeon HD 7450A,288,790,NA,NA
Radeon HD 7450M,332,759,NA,NA
Radeon HD 7470,374,731,NA,NA
Radeon HD 7470M,413,708,NA,NA
Radeon HD 7480D,420,703,NA,NA
Radeon HD 7500G,407,711,NA,NA
Radeon HD 7500G + 7500M/7600M Dual,647,533,NA,NA
Radeon HD 7500G + 7550M Dual,497,661,NA,NA
Radeon HD 7520G,454,684,NA,NA
Radeon HD 7520G + 7400M Dual,486,665,NA,NA
Radeon HD 7520G + 7600M Dual,591,582,NA,NA
Radeon HD 7520G + 7610M Dual,464,681,NA,NA
Radeon HD 7520G + 7650M Dual,453,686,NA,NA
Radeon HD 7520G + 7670M Dual,528,638,NA,NA
Radeon HD 7520G + 7700M Dual,1060,293,NA,NA
Radeon HD 7520G + 8600/8700M Dual,311,775,NA,NA
Radeon HD 7520G + HD 7400M Dual,576,595,NA,NA
Radeon HD 7520G + HD 7600M Dual,643,541,NA,NA
Radeon HD 7520G + HD 7670M Dual,547,622,NA,NA
Radeon HD 7520G + HD 8600/8700M Dual,463,682,NA,NA
Radeon HD 7520G + HD 8750M Dual,651,527,NA,NA
Radeon HD 7540D,517,646,NA,NA
Radeon HD 7540D + 6570 Dual,719,477,NA,NA
Radeon HD 7550M,489,662,NA,NA
Radeon HD 7550M/7650M,729,464,NA,NA
Radeon HD 7560D,665,509,NA,NA
Radeon HD 7560D + 6570 Dual,833,392,NA,NA
Radeon HD 7560D + 6670 Dual,1130,277,NA,NA
Radeon HD 7560D + 7560D Dual,982,326,NA,NA
Radeon HD 7560D + 7670 Dual,1412,222,NA,NA
Radeon HD 7560D + HD 7000 Dual,534,634,NA,NA
Radeon HD 7560D + HD 7700 Dual,1346,234,NA,NA
Radeon HD 7570,981,328,NA,NA
Radeon HD 7570M,609,570,NA,NA
Radeon HD 7570M/HD 7670M,722,472,NA,NA
Radeon HD 7580D,350,746,NA,NA
Radeon HD 7600G,477,669,NA,NA
Radeon HD 7600G + 7450M Dual,389,724,NA,NA
Radeon HD 7600G + 7500M/7600M Dual,405,716,NA,NA
Radeon HD 7600G + 7550M Dual,423,701,NA,NA
Radeon HD 7600G + 8500M/8700M Dual,469,678,NA,NA
Radeon HD 7600G + HD 7500M/7600M Dual,551,614,NA,NA
Radeon HD 7600G + HD 8670M Dual,543,627,NA,NA
Radeon HD 7600G + HD Dual,411,709,NA,NA
Radeon HD 7600M + 7600M Dual,823,398,NA,NA
Radeon HD 7610M,631,547,NA,NA
Radeon HD 7620G,474,675,NA,NA
Radeon HD 7620G + 8600M Dual,514,650,NA,NA
Radeon HD 7620G + 8670M Dual,577,593,NA,NA
Radeon HD 7620G + HD 8600M Dual,451,688,NA,NA
Radeon HD 7620G + HD 8670M Dual,517,648,NA,NA
Radeon HD 7640G,606,572,NA,NA
Radeon HD 7640G + 6400M Dual,526,640,NA,NA
Radeon HD 7640G + 7400M Dual,637,545,NA,NA
Radeon HD 7640G + 7470M Dual,603,574,NA,NA
Radeon HD 7640G + 7500/7600 Dual,627,553,NA,NA
Radeon HD 7640G + 7600M Dual,705,486,NA,NA
Radeon HD 7640G + 7610M Dual,563,601,NA,NA
Radeon HD 7640G + 7670M Dual,646,535,NA,NA
Radeon HD 7640G + 7700M Dual,690,491,NA,NA
Radeon HD 7640G + 8500M Dual,570,597,NA,NA
Radeon HD 7640G + 8570M Dual,565,599,NA,NA
Radeon HD 7640G + 8600/8700M Dual,688,492,NA,NA
Radeon HD 7640G + 8670M Dual,558,607,NA,NA
Radeon HD 7640G + 8750M Dual,654,520,NA,NA
Radeon HD 7640G + HD 7400M Dual,617,559,NA,NA
Radeon HD 7640G + HD 7600M Dual,698,489,NA,NA
Radeon HD 7640G + HD 7670M Dual,648,531,NA,NA
Radeon HD 7640G + HD 7700M Dual,665,506,NA,NA
Radeon HD 7640G + HD 8500M Dual,607,571,NA,NA
Radeon HD 7640G + HD 8500M N HD 8500M Dual,665,510,NA,NA
Radeon HD 7640G + HD 8600/8700M Dual,506,657,NA,NA
Radeon HD 7640G + HD 8750M Dual,1240,256,NA,NA
Radeon HD 7640G + R5 M200 Dual,508,656,NA,NA
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,397,NA,NA
Radeon HD 7640G N HD 7640G + HD 7670M Dual,679,496,NA,NA
Radeon HD 7650A,797,414,3.04,$262.00*
Radeon HD 7650M,723,471,NA,NA
Radeon HD 7660D,791,418,NA,NA
Radeon HD 7660D + 6570 Dual,1100,282,NA,NA
Radeon HD 7660D + 6670 Dual,1238,258,NA,NA
Radeon HD 7660D + 7470 Dual,465,680,NA,NA
Radeon HD 7660D + 7670 Dual,1061,292,NA,NA
Radeon HD 7660D + HD 6670 Dual,1484,213,NA,NA
Radeon HD 7660D + HD 7700 Dual,1878,175,NA,NA
Radeon HD 7660G,819,400,NA,NA
Radeon HD 7660G + 7400M Dual,588,585,NA,NA
Radeon HD 7660G + 7470M Dual,579,589,NA,NA
Radeon HD 7660G + 7600M Dual,823,399,NA,NA
Radeon HD 7660G + 7610M Dual,744,450,NA,NA
Radeon HD 7660G + 7670M Dual,734,459,NA,NA
Radeon HD 7660G + 7700M Dual,757,444,NA,NA
Radeon HD 7660G + 7730M Dual,931,347,NA,NA
Radeon HD 7660G + 8600M Dual,445,693,NA,NA
Radeon HD 7660G + 8670M Dual,587,586,NA,NA
Radeon HD 7660G + HD 7600M Dual,825,396,NA,NA
Radeon HD 7660G + HD 7670M Dual,707,484,NA,NA
Radeon HD 7660G + HD 7700M Dual,764,438,NA,NA
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,722,473,NA,NA
Radeon HD 7660G N HD 7660G + HD 7670M Dual,704,487,NA,NA
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,966,333,NA,NA
Radeon HD 7670,1084,287,NA,NA
Radeon HD 7670A,1051,297,NA,NA
Radeon HD 7670M,817,401,1.30,$629.99*
Radeon HD 7670M + 7670M Dual,738,454,NA,NA
Radeon HD 7690M,999,317,NA,NA
Radeon HD 7690M XT,1009,314,NA,NA
Radeon HD 7730,1413,221,28.27,$49.99*
Radeon HD 7730M,1016,310,NA,NA
Radeon HD 7750,1660,193,9.82,$169.00
Radeon HD 7750M,1191,267,NA,NA
Radeon HD 7770,2172,150,8.13,$267.17
Radeon HD 7790,3001,109,9.61,$312.42
Radeon HD 7850,3774,83,8.39,$449.59
Radeon HD 7850M,1372,230,NA,NA
Radeon HD 7870,4300,65,10.15,$423.44
Radeon HD 7870 XT,4395,60,NA,NA
Radeon HD 7870M,1482,214,NA,NA
Radeon HD 7950 / R9 280,4762,54,23.81,$199.99
Radeon HD 7970 / R9 280X,5246,42,17.49,$299.99
Radeon HD 7970M,3707,85,NA,NA
Radeon HD 7990,5390,39,9.14,$589.89*
Radeon HD 8180,199,866,NA,NA
Radeon HD 8210,256,818,NA,NA
Radeon HD 8240,283,795,NA,NA
Radeon HD 8250,262,812,NA,NA
Radeon HD 8280,326,764,NA,NA
Radeon HD 8280E,330,762,NA,NA
Radeon HD 8280G,269,805,NA,NA
Radeon HD 8330,348,748,NA,NA
Radeon HD 8330E,340,753,NA,NA
Radeon HD 8350,260,816,1.86,$139.99*
Radeon HD 8350G,398,720,NA,NA
Radeon HD 8370D,430,698,NA,NA
Radeon HD 8400,371,733,NA,NA
Radeon HD 8400E,342,752,NA,NA
Radeon HD 8410G,428,700,NA,NA
Radeon HD 8450G,414,706,NA,NA
Radeon HD 8450G + 8600M Dual,545,624,NA,NA
Radeon HD 8450G + 8670M Dual,474,674,NA,NA
Radeon HD 8450G + 8750M Dual,637,546,NA,NA
Radeon HD 8450G + HD 8600M Dual,452,687,NA,NA
Radeon HD 8470,350,747,NA,NA
Radeon HD 8470D,516,649,NA,NA
Radeon HD 8470D + 6450 Dual,717,480,NA,NA
Radeon HD 8490,383,726,NA,NA
Radeon HD 8500M,521,644,NA,NA
Radeon HD 8500M/8700M,888,369,NA,NA
Radeon HD 8510G,512,653,NA,NA
Radeon HD 8510G + 8500M Dual,596,580,NA,NA
Radeon HD 8550D,663,513,NA,NA
Radeon HD 8550G,722,474,NA,NA
Radeon HD 8550G + 8500M Dual,602,576,NA,NA
Radeon HD 8550G + 8570M Dual,535,633,NA,NA
Radeon HD 8550G + 8600/8700M Dual,802,410,NA,NA
Radeon HD 8550G + 8600M Dual,617,560,NA,NA
Radeon HD 8550G + 8670M Dual,561,602,NA,NA
Radeon HD 8550G + 8690M Dual,664,512,NA,NA
Radeon HD 8550G + 8750M Dual,799,412,NA,NA
Radeon HD 8550G + HD 8600/8700M Dual,798,413,NA,NA
Radeon HD 8550G + HD 8600M Dual,666,505,NA,NA
Radeon HD 8550G + HD 8750M Dual,874,376,NA,NA
Radeon HD 8550G + R5 M200 Dual,625,555,NA,NA
Radeon HD 8550G + R5 M230 Dual,583,587,NA,NA
Radeon HD 8570,952,339,NA,NA
Radeon HD 8570 + 8670D Dual,620,558,NA,NA
Radeon HD 8570D,675,502,NA,NA
Radeon HD 8570D + 6570 Dual,1239,257,NA,NA
Radeon HD 8570D + HD 6570 Dual,868,377,NA,NA
Radeon HD 8570D + HD 6670 Dual,1260,253,NA,NA
Radeon HD 8570D + HD 7700 Dual,1834,178,NA,NA
Radeon HD 8570D + HD 8570 Dual,1032,303,NA,NA
Radeon HD 8570D + R7 200 Dual,1000,316,NA,NA
Radeon HD 8570D + R7 240 Dual,963,334,NA,NA
Radeon HD 8570M,545,623,NA,NA
Radeon HD 8600/8700M,1042,299,NA,NA
Radeon HD 8610G,553,610,NA,NA
Radeon HD 8610G + 8500M Dual,610,569,NA,NA
Radeon HD 8610G + 8600M Dual,588,584,NA,NA
Radeon HD 8610G + 8670M Dual,599,578,NA,NA
Radeon HD 8610G + HD 8500M Dual,629,550,NA,NA
Radeon HD 8610G + HD 8600M Dual,576,594,NA,NA
Radeon HD 8610G + HD 8670M Dual,568,598,NA,NA
Radeon HD 8610G + R5 M200 Dual,671,504,NA,NA
Radeon HD 8650D,578,592,NA,NA
Radeon HD 8650G,940,344,NA,NA
Radeon HD 8650G + 7600M Dual,741,452,NA,NA
Radeon HD 8650G + 7670M Dual,778,425,NA,NA
Radeon HD 8650G + 8500M Dual,626,554,NA,NA
Radeon HD 8650G + 8570M Dual,652,525,NA,NA
Radeon HD 8650G + 8600/8700M Dual,835,391,NA,NA
Radeon HD 8650G + 8600M Dual,613,566,NA,NA
Radeon HD 8650G + 8670M Dual,647,534,NA,NA
Radeon HD 8650G + 8750M Dual,787,419,NA,NA
Radeon HD 8650G + HD 7600M Dual,854,382,NA,NA
Radeon HD 8650G + HD 8570M Dual,725,468,NA,NA
Radeon HD 8650G + HD 8600/8700M Dual,781,424,NA,NA
Radeon HD 8650G + HD 8600M Dual,612,567,NA,NA
Radeon HD 8650G + HD 8670M Dual,655,519,NA,NA
Radeon HD 8650G + HD 8750M Dual,785,420,NA,NA
Radeon HD 8650G + R5 M230 Dual,722,475,NA,NA
Radeon HD 8650G N HD 8650G + HD 8570M Dual,773,432,NA,NA
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,679,497,NA,NA
Radeon HD 8670D,814,403,NA,NA
Radeon HD 8670D + 6670 Dual,1361,233,NA,NA
Radeon HD 8670D + 7700 Dual,1788,180,NA,NA
Radeon HD 8670D + HD 6670 Dual,1221,261,NA,NA
Radeon HD 8670D + R5 235 Dual,861,379,NA,NA
Radeon HD 8670D + R7 200 Dual,949,342,NA,NA
Radeon HD 8670D + R7 240 Dual,1020,309,NA,NA
Radeon HD 8670M,510,655,NA,NA
Radeon HD 8690A,915,355,NA,NA
Radeon HD 8690M,960,337,NA,NA
Radeon HD 8730M,782,421,NA,NA
Radeon HD 8750M,1001,315,NA,NA
Radeon HD 8790M,1287,245,NA,NA
Radeon HD 8790M / R9 M290X,1236,259,NA,NA
Radeon HD 8850M,992,319,NA,NA
Radeon HD 8850M / R9 M265X,1362,232,NA,NA
Radeon HD 8870M,1672,191,NA,NA
Radeon HD 8870M / R9 M270X / M370X,1755,185,NA,NA
Radeon HD 8950,2878,118,NA,NA
