name,passmark,rank,value,price
GeForce 7050 / nForce 630i,26,1209,NA,NA
GeForce 7050 PV / nForce 630a,21,1230,NA,NA
GeForce 705M,459,683,NA,NA
GeForce 7100 / nForce 630i,30,1198,NA,NA
GeForce 7100 GS,41,1157,NA,NA
GeForce 710A,387,725,NA,NA
GeForce 710M,541,630,NA,NA
GeForce 7150 / nForce 630i,33,1190,NA,NA
GeForce 7150M / nForce 630M,17,1242,NA,NA
GeForce 7300 GS,64,1088,NA,NA
GeForce 7300 GT,108,976,0.72,$149.99*
GeForce 7300 LE,54,1118,1.69,$32.00*
GeForce 7300 SE,42,1154,NA,NA
GeForce 7300 SE/7200 GS,40,1162,NA,NA
GeForce 730A,725,469,NA,NA
GeForce 7350 LE,74,1066,NA,NA
GeForce 7500 LE,69,1074,NA,NA
GeForce 7600 GS,133,938,1.56,$84.99*
GeForce 7600 GT,182,888,2.14,$84.95*
GeForce 7650 GS,134,933,NA,NA
GeForce 7800 GS,182,886,NA,NA
GeForce 7800 GT,193,880,2.41,$80.00*
GeForce 7800 GTX,226,836,NA,NA
GeForce 7900 GS,220,841,NA,NA
GeForce 7900 GT,258,817,NA,NA
GeForce 7900 GT/GTO,244,825,NA,NA
GeForce 7900 GTX,302,780,NA,NA
GeForce 7950 GT,260,813,2.26,$114.95*
GeForce 7950 GX2,194,876,3.53,$54.99*
GeForce 800A,440,694,NA,NA
GeForce 800M,551,613,NA,NA
GeForce 8100 / nForce 720a,85,1040,NA,NA
GeForce 810A,627,552,NA,NA
GeForce 810M,403,718,NA,NA
GeForce 8200,82,1050,NA,NA
GeForce 8200M G,57,1111,NA,NA
GeForce 820A,663,514,NA,NA
GeForce 820M,581,588,NA,NA
GeForce 825M,718,478,NA,NA
GeForce 8300,95,1017,4.19,$22.68*
GeForce 8300 GS,68,1079,NA,NA
GeForce 830A,950,340,NA,NA
GeForce 830M,776,428,NA,NA
GeForce 8400,101,996,1.45,$69.78*
GeForce 8400 GS,115,964,3.83,$29.99
GeForce 8400 SE,68,1080,NA,NA
GeForce 8400M G,59,1103,NA,NA
GeForce 8400M GS,85,1039,5.67,$14.99*
GeForce 8400M GT,101,1000,NA,NA
GeForce 840A,875,374,NA,NA
GeForce 840M,846,386,NA,NA
GeForce 845M,1026,307,NA,NA
GeForce 8500 GT,141,921,NA,NA
GeForce 8600 GS,152,911,NA,NA
GeForce 8600 GT,252,822,NA,NA
GeForce 8600 GTS,300,783,NA,NA
GeForce 8600GS,154,909,6.16,$24.99*
GeForce 8600M GS,128,942,NA,NA
GeForce 8600M GT,176,893,NA,NA
GeForce 8700M GT,221,838,NA,NA
GeForce 8800 GS,552,611,NA,NA
GeForce 8800 GT,760,441,NA,NA
GeForce 8800 GTS,614,563,NA,NA
GeForce 8800 GTS 512,852,383,NA,NA
GeForce 8800 GTX,775,429,NA,NA
GeForce 8800 Ultra,802,409,NA,NA
GeForce 8800M GTS,482,667,NA,NA
GeForce 8800M GTX,551,612,NA,NA
GeForce 9100,84,1043,NA,NA
GeForce 9100M G,79,1059,NA,NA
GeForce 910M,419,704,NA,NA
GeForce 9200,83,1048,NA,NA
GeForce 9200M GE,83,1046,NA,NA
GeForce 9200M GS,90,1031,NA,NA
GeForce 920M,676,501,NA,NA
GeForce 920MX,894,367,NA,NA
GeForce 9300,126,945,NA,NA
GeForce 9300 / nForce 730i,134,934,NA,NA
GeForce 9300 GE,103,990,4.48,$22.99*
GeForce 9300 GS,94,1018,1.57,$59.95*
GeForce 9300GE,97,1010,NA,NA
GeForce 9300M G,84,1042,NA,NA
GeForce 9300M GS,98,1005,NA,NA
GeForce 930A,985,324,NA,NA
GeForce 930M,842,388,NA,NA
GeForce 930MX,902,359,NA,NA
GeForce 9400,149,914,NA,NA
GeForce 9400 GT,195,874,2.44,$79.99*
GeForce 9400M,121,952,NA,NA
GeForce 9400M G,127,944,NA,NA
GeForce 940M,908,358,NA,NA
GeForce 940MX,1028,306,NA,NA
GeForce 945M,1222,260,NA,NA
GeForce 9500 GS,290,789,NA,NA
GeForce 9500 GT,286,791,3.33,$85.99*
GeForce 9500M,107,978,NA,NA
GeForce 9500M G,166,900,NA,NA
GeForce 9500M GS,195,873,NA,NA
GeForce 9600 GS,451,689,NA,NA
GeForce 9600 GSO,523,643,10.46,$49.99*
GeForce 9600 GSO 512,504,658,NA,NA
GeForce 9600 GT,750,448,18.75,$39.99*
GeForce 9600M GS,248,824,NA,NA
GeForce 9600M GT,273,802,NA,NA
GeForce 9600M GT / GeForce GT 220M,293,786,NA,NA
GeForce 9650M GS,285,793,NA,NA
GeForce 9650M GT,263,811,NA,NA
GeForce 9700M GT,338,757,NA,NA
GeForce 9700M GTS,486,666,NA,NA
GeForce 9800 GT,726,467,6.98,$103.99*
GeForce 9800 GTX,769,434,NA,NA
GeForce 9800 GTX+,928,350,NA,NA
GeForce 9800 GTX/9800 GTX+,898,365,9.98,$89.99*
GeForce 9800 GX2,815,402,NA,NA
GeForce 9800 S,645,538,NA,NA
GeForce 9800M GS,549,617,NA,NA
GeForce 9800M GT,472,676,NA,NA
GeForce 9800M GTS,651,526,NA,NA
GeForce 9800M GTX,529,636,1.61,$328.50
GeForce FX 5200,7,1271,0.10,$69.99*
GeForce FX 5200 Ultra,12,1255,NA,NA
GeForce FX 5200LE,7,1265,0.16,$42.99*
GeForce FX 5500,8,1262,0.22,$36.99*
GeForce FX 5600,11,1260,NA,NA
GeForce FX 5600 Ultra,17,1243,NA,NA
GeForce FX 5600XT,8,1263,NA,NA
GeForce FX 5700,42,1155,NA,NA
GeForce FX 5700 Ultra,30,1196,NA,NA
GeForce FX 5700LE,25,1216,NA,NA
GeForce FX 5700VE,37,1173,NA,NA
GeForce FX 5900,34,1183,NA,NA
GeForce FX 5900 Ultra,41,1158,NA,NA
GeForce FX 5900XT,43,1151,NA,NA
GeForce FX 5950 Ultra,59,1106,NA,NA
GeForce FX Go 5200,8,1261,NA,NA
GeForce FX Go 5600,18,1239,NA,NA
GeForce FX Go5300,12,1253,NA,NA
GeForce FX Go5650,16,1245,NA,NA
GeForce FX Go5700,47,1132,NA,NA
GeForce G 103M,107,979,NA,NA
GeForce G 105M,117,957,NA,NA
GeForce G100,101,999,5.05,$19.99*
GeForce G102M,100,1002,NA,NA
GeForce G105M,190,882,NA,NA
GeForce G200,133,939,NA,NA
GeForce G205M,103,988,NA,NA
GeForce G210,179,891,2.84,$63.13*
GeForce G210M,207,858,NA,NA
GeForce Go 6100,18,1241,NA,NA
GeForce Go 6150,18,1240,NA,NA
GeForce Go 6200,13,1250,NA,NA
GeForce Go 6400,24,1220,NA,NA
GeForce Go 6600,68,1081,NA,NA
GeForce Go 6600 TE/6200 TE,44,1148,NA,NA
GeForce Go 6800,108,974,NA,NA
GeForce Go 6800 Ultra,137,928,NA,NA
GeForce Go 7200,44,1145,NA,NA
GeForce Go 7300,49,1126,NA,NA
GeForce Go 7400,63,1093,NA,NA
GeForce Go 7600,128,941,NA,NA
GeForce Go 7600 GT,165,901,NA,NA
GeForce Go 7700,147,918,NA,NA
GeForce Go 7800,116,961,NA,NA
GeForce Go 7800 GTX,208,856,NA,NA
GeForce Go 7900 GS,175,896,NA,NA
GeForce Go 7950 GTX,263,810,NA,NA
GeForce GPU,1072,289,NA,NA
GeForce GT 120,301,781,8.73,$34.49*
GeForce GT 120M,280,797,NA,NA
GeForce GT 130,467,679,16.68,$27.99*
GeForce GT 130M,306,776,NA,NA
GeForce GT 140,766,436,NA,NA
GeForce GT 220,360,741,4.50,$79.99*
GeForce GT 220M,274,801,NA,NA
GeForce GT 230,476,670,10.82,$43.99*
GeForce GT 230M,340,754,NA,NA
GeForce GT 240,652,523,17.16,$37.99*
GeForce GT 240M,359,742,NA,NA
GeForce GT 320,553,609,16.92,$32.69*
GeForce GT 320M,216,848,NA,NA
GeForce GT 325M,305,777,NA,NA
GeForce GT 330,560,604,14.00,$39.99*
GeForce GT 330M,370,736,NA,NA
GeForce GT 335M,502,659,NA,NA
GeForce GT 340,810,406,15.29,$52.99*
GeForce GT 415M,313,773,NA,NA
GeForce GT 420,450,691,11.25,$39.99
GeForce GT 420M,548,619,NA,NA
GeForce GT 425M,614,564,NA,NA
GeForce GT 430,656,517,18.23,$35.99*
GeForce GT 435M,660,516,NA,NA
GeForce GT 440,832,393,11.89,$69.99*
GeForce GT 445M,1052,296,NA,NA
GeForce GT 520,368,738,6.13,$59.99*
GeForce GT 520M,380,727,6.33,$59.99*
GeForce GT 520MX,406,714,NA,NA
GeForce GT 525M,603,575,NA,NA
GeForce GT 530,736,455,15.02,$49.00*
GeForce GT 540M,655,518,NA,NA
GeForce GT 545,1277,250,22.97,$55.59*
GeForce GT 550M,727,466,NA,NA
GeForce GT 555M,902,360,NA,NA
GeForce GT 610,358,743,10.23,$34.99
GeForce GT 620,433,697,10.83,$39.99*
GeForce GT 620M,548,618,NA,NA
GeForce GT 625,437,695,NA,NA
GeForce GT 625M,434,696,NA,NA
GeForce GT 630,793,416,8.01,$98.99
GeForce GT 630M,674,503,NA,NA
GeForce GT 635,933,345,NA,NA
GeForce GT 635M,676,500,NA,NA
GeForce GT 640,1289,244,21.49,$59.99*
GeForce GT 640M,892,368,NA,NA
GeForce GT 640M LE,774,431,0.91,$849.99*
GeForce GT 645,2479,137,NA,NA
GeForce GT 645M,847,385,NA,NA
GeForce GT 650M,1191,268,NA,NA
GeForce GT 705,405,715,NA,NA
GeForce GT 710,648,532,18.52,$34.99
GeForce GT 710M,511,654,NA,NA
GeForce GT 720,732,462,19.79,$36.99
GeForce GT 720A,631,549,NA,NA
GeForce GT 720M,524,641,NA,NA
GeForce GT 730,927,352,18.18,$50.99
GeForce GT 730A,717,479,NA,NA
GeForce GT 730M,800,411,NA,NA
GeForce GT 735M,631,548,NA,NA
GeForce GT 740,1584,201,17.60,$89.99
GeForce GT 740M,762,440,NA,NA
GeForce GT 745A,1146,276,NA,NA
GeForce GT 745M,950,341,NA,NA
GeForce GT 750M,1292,243,NA,NA
GeForce GT 755M,1561,203,NA,NA
GeForce GT625M,523,642,NA,NA
GeForce GTS 160M,665,508,NA,NA
GeForce GTS 240,848,384,13.05,$64.99*
GeForce GTS 250,899,363,7.82,$114.99*
GeForce GTS 250M,558,606,NA,NA
GeForce GTS 350M,559,605,NA,NA
GeForce GTS 360M,756,445,NA,NA
GeForce GTS 450,1550,205,23.85,$64.99*
GeForce GTX 1060,9467,9,35.06,$269.99
GeForce GTX 1070,11647,4,29.12,$399.99
GeForce GTX 1080,12674,2,19.20,$659.99
GeForce GTX 260,1120,279,11.74,$95.38*
GeForce GTX 260M,602,577,NA,NA
GeForce GTX 275,1219,263,10.16,$119.99*
GeForce GTX 280,1196,266,9.97,$119.99*
GeForce GTX 280M,684,493,NA,NA
GeForce GTX 285,1262,252,7.01,$179.99*
GeForce GTX 285M,750,449,NA,NA
GeForce GTX 295,1038,300,6.49,$159.99*
GeForce GTX 460,2639,129,29.33,$89.99*
GeForce GTX 460 SE,2234,147,13.96,$159.99*
GeForce GTX 460 v2,2554,133,12.77,$199.99*
GeForce GTX 460M,1380,227,NA,NA
GeForce GTX 465,2950,113,11.20,$263.28*
GeForce GTX 470,3590,88,6.88,$522.01*
